code,time_zone_id,country,region,latitude,longitude
LBG,Europe/Paris,France,Europe,,
LBQ,Africa/Libreville,Gabon,Africa,,
CGC,Pacific/Port_Moresby,Papua New Guinea,Pacific,28.86727778,-82.57130556
RNA,Pacific/Guadalcanal,Solomon Islands,Pacific,,
DLO,America/Sitka,United States,Alaska,35.74558056,-119.2365039
EYP,America/Bogota,Colombia,South America,,
EYW,America/New_York,United States,Domestic,24.55611111,-81.75955556
EZE,America/Argentina/Buenos_Aires,Argentina,South America,,
HCZ,Asia/Shanghai,China,Pacific,,
SDZ,Europe/London,United Kingdom,Europe,,
BVD,America/Nome,United States,Alaska,,
MLH,Europe/Zurich,Switzerland,Europe,,
ZST,America/Vancouver,Canada,Canada,,
DGE,Australia/Sydney,Australia,Australia/New Zealand,,
DGT,Asia/Manila,Philippines,Pacific,,
DWN,America/Chicago,United States,Domestic,,
FNA,Africa/Freetown,Sierra Leone,Africa,,
MNM,America/Menominee,United States,Domestic,45.12665028,-87.63844056
MNO,Africa/Lubumbashi,"Congo, The Democratic Republic of the",Africa,,
MQT,America/Detroit,United States,Domestic,46.353639,-87.395361
MHG,Europe/Berlin,Germany,Europe,,
MHH,America/Nassau,Bahamas,Caribbean,,
MHK,America/Chicago,United States,Domestic,39.14096722,-96.67083278
MHQ,Europe/Mariehamn,Åland Islands,Other International,,
YCQ,America/Dawson_Creek,Canada,Canada,,
LDH,Australia/Lord_Howe,Australia,Australia/New Zealand,,
YED,America/Edmonton,Canada,Canada,,
MQQ,Africa/Ndjamena,Chad,Africa,,
MQS,America/St_Vincent,Saint Vincent and the Grenadines,Caribbean,,
LOZ,America/New_York,United States,Domestic,37.08727778,-84.07677778
LPA,Atlantic/Canary,Spain,Europe,,
LOQ,Africa/Gaborone,Botswana,Africa,,
LPE,America/Bogota,Colombia,South America,,
LPI,Europe/Stockholm,Sweden,Europe,,
PRS,Pacific/Guadalcanal,Solomon Islands,Pacific,,
QJI,America/Godthab,Greenland,Other International,,
YAE,America/Vancouver,Canada,Canada,,
AFR,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
AHI,Asia/Jayapura,Indonesia,Pacific,,
CBZ,America/Sitka,United States,Alaska,,
CMU,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
FNB,Europe/Berlin,Germany,Europe,40.07878611,-95.59199167
FNC,Atlantic/Madeira,Portugal,Europe,,
FND,Indian/Maldives,Maldives,Pacific,,
GOF,America/Chicago,United States,Domestic,,
HHP,Asia/Hong_Kong,Hong Kong,Pacific,,
HLT,Australia/Melbourne,Australia,Australia/New Zealand,,
MQU,America/Bogota,Colombia,South America,,
ADD,Africa/Addis_Ababa,Ethiopia,Africa,,
DVD,Indian/Antananarivo,Madagascar,Africa,,
MRB,America/New_York,United States,Domestic,39.40193278,-77.98458139
MRO,Pacific/Auckland,New Zealand,Australia/New Zealand,,
MRQ,Asia/Manila,Philippines,Pacific,,
MTO,America/Chicago,United States,Domestic,39.47793722,-88.27923833
MSO,America/Denver,United States,Domestic,46.91630556,-114.0905556
MSP,America/Chicago,United States,Domestic,44.88054694,-93.2169225
MSQ,Europe/Minsk,Belarus,Europe,,
LPG,America/Argentina/Buenos_Aires,Argentina,South America,,
LPJ,America/Caracas,"Venezuela, Bolivarian Republic of",South America,,
LPK,Europe/Moscow,Russian Federation,Europe,,
JOC,America/Los_Angeles,United States,Domestic,,
JSN,America/Los_Angeles,United States,Domestic,,
YNF,America/St_Johns,Canada,Canada,,
YNR,America/Winnipeg,Canada,Canada,,
YNE,America/Winnipeg,Canada,Canada,,
KKF,America/Nome,United States,Alaska,,
LPO,America/Chicago,United States,Domestic,,
LPX,Europe/Riga,Latvia,Europe,,
LPY,Europe/Paris,France,Europe,,
OCC,America/Guayaquil,Ecuador,South America,,
OCH,America/Chicago,United States,Domestic,31.57802778,-94.70954167
KBK,America/Sitka,United States,Alaska,,
SGG,Asia/Kuching,Malaysia,Pacific,,
DJU,Atlantic/Reykjavik,Iceland,Europe,,
DKA,Africa/Lagos,Nigeria,Africa,,
HAE,America/Phoenix,United States,Domestic,39.72448944,-91.44367944
HAP,Australia/Brisbane,Australia,Australia/New Zealand,,
HCB,America/Anchorage,United States,Alaska,,
ILY,Europe/London,United Kingdom,Europe,,
IMK,Asia/Kathmandu,Nepal,Pacific,,
IMQ,Asia/Tehran,"Iran, Islamic Republic of",Middle East,,
ABJ,Africa/Abidjan,Côte d'Ivoire,Africa,,
IXI,Asia/Kolkata,India,Pacific,,
WNC,America/Anchorage,United States,Alaska,,
JRD,America/Los_Angeles,United States,Domestic,,
NBP,America/New_York,United States,Domestic,,
LQK,America/New_York,United States,Domestic,34.80997222,-82.70288889
LQM,America/Bogota,Colombia,South America,,
LRB,Africa/Maseru,Lesotho,Africa,,
LRT,Europe/Paris,France,Europe,,
LRU,America/Denver,United States,Domestic,32.28941667,-106.9219722
IXJ,Asia/Kolkata,India,Pacific,,
AEK,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
ARL,Africa/Ouagadougou,Burkina Faso,Africa,,
LRV,America/Caracas,"Venezuela, Bolivarian Republic of",South America,,
LSB,America/Denver,United States,Domestic,32.33278083,-108.6909742
LSD,America/New_York,United States,Domestic,,
LSK,America/Denver,United States,Domestic,42.75380806,-104.4045536
LSM,Asia/Kuching,Malaysia,Pacific,,
LSN,America/Los_Angeles,United States,Domestic,37.06290556,-120.8692511
LSO,Europe/Paris,France,Europe,,
BWE,Europe/Berlin,Germany,Europe,,
CHI,America/Chicago,United States,Domestic,,
CKX,America/Anchorage,United States,Alaska,64.07133833,-141.9522792
LSQ,America/Santiago,Chile,South America,,
LSV,America/Los_Angeles,United States,Domestic,,
CRY,Australia/Perth,Australia,Australia/New Zealand,,
CSL,America/Los_Angeles,United States,Domestic,,
